word,prefixes,stem,suffixes,frequency,stability,n_variants
الْمُوقِنِينَ,ال,موقن,ين,1,1.0,1
جَنَّ,,جن,,1,1.0,1
أُحِبُّ,أ,حب,,1,1.0,1
الْآفِلِينَ,ال,آفل,ين,1,1.0,1
بَازِغَاً,,بازغ,ا,1,1.0,1
يَهْدِنِي,ي,هد+ن,ي,1,1.0,1
لَأَكُونَنَّ,,ل+أ+كون+ن,,1,1.0,1
بَازِغَةً,,بازغ,ة,1,1.0,1
أَفَلَتْ,,أفل,ت,1,1.0,1
وَجَّهْتُ,,وجه,ت,1,1.0,1
وَحَاجَّهُ,و,حاج,ه,1,1.0,1
أَتُحَاجُّونِّي,أ|ت,حاج+و+ن+ي+None,,1,1.0,1
هَدَانِ,,هدا+ن+None+None,,1,1.0,1
فَأَيُّ,ف,أي,,1,1.0,1
بِالْأَمْنِ,ب|ال,أمن,,1,1.0,1
يَلْبِسُوا,ي,لبس+وا+None,,1,1.0,1
إِيمَانَهُمْ,,إيمان,هم,1,1.0,1
الْأَمْنُ,ال,أمن,,1,1.0,1
حُجَّتُنَا,,حج,ت|نا,1,1.0,1
آتَيْنَاهَا,,آتي,نا|ها,1,1.0,1
وَيُوسُفَ,و,يوسف,,1,1.0,1
وَإِلْيَاسَ,و,إلياس,,1,1.0,1
وَإِخْوَانِهِمْ,و,إخوان,هم,1,1.0,1
وَاجْتَبَيْنَاهُمْ,و,اجتبي,نا|هم,1,1.0,1
وَهَدَيْنَاهُمْ,و,هدي,نا|هم,1,1.0,1
لَحَبِطَ,,ل+حبط,,1,1.0,1
وَكَّلْنَا,و,كل,نا,1,1.0,1
بِكَافِرِينَ,ب,كافر,ين,1,1.0,1
فَبِهُدَاهُمُ,ف|ب,هدا+هم+None,,1,1.0,1
اقْتَدِهْ,,اقتد,ه,1,1.0,1
بَشَرٍ,,بشر,,1,1.0,1
تَجْعَلُونَهُ,ت,جعل+ون+ه+None+None,,1,1.0,1
قَرَاطِيسَ,,قراطيس,,1,1.0,1
تُبْدُونَهَا,ت,بد+ون+ها+None+None,,1,1.0,1
وَتُخْفُونَ,و|ت,خف+ون+None+None,,1,1.0,1
وَعُلِّمْتُمْ,و,علم+تم+None+None,,1,1.0,1
خَوْضِهِمْ,,خوض,هم,1,1.0,1
مُصَدِّقُ,,مصدق,,1,1.0,1
وَلِتُنْذِرَ,و|ل|ت,نذر,,1,1.0,1
يُوحَ,ي,وح,,1,1.0,1
سَأُنْزِلُ,س|أ,نزل,(null),1,1.0,1
غَمَرَاتِ,,غمر,ات,1,1.0,1
بَاسِطُو,,باسط,و,1,1.0,1
أَنْفُسَكُمُ,,أنفس,كم,1,1.0,1
فُرَادَى,,فرادى,,1,1.0,1
وَتَرَكْتُمْ,و,ترك,تم,1,1.0,1
خَوَّلْنَاكُمْ,,خول,نا|كم,1,1.0,1
ظُهُورِكُمْ,,ظهور,كم,1,1.0,1
شُفَعَاءَكُمُ,,شفعاء,كم,1,1.0,1
الْحَبِّ,ال,حب,,1,1.0,1
وَالنَّوَى,و|ال,نوى,,1,1.0,1
وَمُخْرِجُ,و,مخرج,(null),1,1.0,1
الْإِصْبَاحِ,ال,إصباح,,1,1.0,1
النُّجُومَ,ال,نجوم,(null),1,1.0,1
لِتَهْتَدُوا,ل|ت,هتد,وا,1,1.0,1
فَمُسْتَقَرٌّ,ف,مستقر,,1,1.0,1
وَمُسْتَوْدَعٌ,و,مستودع,,1,1.0,1
نَبَاتَ,,نبات,,1,1.0,1
خَضِرَاً,,خضر,ا,1,1.0,1
مُتَرَاكِبَاً,,متراكب,ا,1,1.0,1
طَلْعِهَا,,طلع,ها,1,1.0,1
قِنْوَانٌ,,قنوان,,1,1.0,1
مُشْتَبِهَاً,,مشتبه,ا,1,1.0,1
وَيَنْعِهِ,و,ينع,ه,1,1.0,1
وَخَلَقَهُمْ,و,خلق,هم,1,1.0,1
وَخَرَقُوا,و,خرق,وا,1,1.0,1
وَبَنَاتٍ,و,بن,ات,1,1.0,1
صَاحِبَةٌ,,صاحب,ة|(null),1,1.0,1
تُدْرِكُهُ,ت,درك,ه,1,1.0,1
يُدْرِكُ,ي,درك,,1,1.0,1
الْأَبْصَارَ,ال,أبصار,,1,1.0,1
أَبْصَرَ,,أبصر,,1,1.0,1
عَمِيَ,,عمي,,1,1.0,1
وَلِيَقُولُوا,و,ل+ي+قول,وا,1,1.0,1
دَرَسْتَ,,درس,ت,1,1.0,1
وَلِنُبَيِّنَهُ,و|ل|ن,بين,ه,1,1.0,1
تَسُبُّوا,ت,سب+وا+None,,1,1.0,1
فَيَسُبُّوا,ف|ي,سب,وا,1,1.0,1
عَدْوَاً,,عدو,ا,1,1.0,1
عَمَلَهُمْ,,عمل,هم,1,1.0,1
لَيُؤْمِنُنَّ,,ل+ي+ؤمن+ن+None+None,,1,1.0,1
يُشْعِرُكُمْ,ي,شعر,كم,1,1.0,1
وَنُقَلِّبُ,و|ن,قلب,,1,1.0,1
أَفْئِدَتَهُمْ,,أفئد,ت|هم,1,1.0,1
وَأَبْصَارَهُمْ,و,أبصار,هم,1,1.0,1
وَنَذَرُهُمْ,و|ن,ذر,هم,1,1.0,1
أَنَّنَا,,أن,نا,1,1.0,1
وَكَلَّمَهُمُ,و,كلم,هم,1,1.0,1
وَحَشَرْنَا,و,حشر,نا,1,1.0,1
يَجْهَلُونَ,ي,جهل,ون,1,1.0,1
شَيَاطِينَ,,شياطين,,1,1.0,1
وَالْجِنِّ,و|ال,جن,,1,1.0,1
زُخْرُفَ,,زخرف,,1,1.0,1
وَلِتَصْغَى,و|ل|ت,صغى,,1,1.0,1
أَفْئِدَةُ,,أفئد,ة,1,1.0,1
وَلِيَرْضَوْهُ,و|ل|ي,رضى+و+ه+None,,1,1.0,1
وَلِيَقْتَرِفُوا,و|ل|ي,قترف,وا,1,1.0,1
مُقْتَرِفُونَ,,مقترف,ون,1,1.0,1
أَبْتَغِي,أ,بتغي,,1,1.0,1
مُفَصَّلَاً,,مفصل,ا,1,1.0,1
مُنَزَّلٌ,,منزل,,1,1.0,1
صِدْقَاً,,صدق,ا,1,1.0,1
وَعَدْلَاً,و,عدل,ا,1,1.0,1
فَصَّلَ,,فصل,,1,1.0,1
اضْطُرِرْتُمْ,,اضطرر,تم,1,1.0,1
لَيُضِلُّونَ,,ل+ي+ضل+ون+None+None,,1,1.0,1
بِأَهْوَائِهِمْ,ب,أهوائ+هم+None+None,,1,1.0,1
بِالْمُعْتَدِينَ,ب|ال,معتد,ين,1,1.0,1
ظَاهِرَ,,ظاهر,,1,1.0,1
وَبَاطِنَهُ,و,باطن,ه,1,1.0,1
يَقْتَرِفُونَ,ي,قترف,ون,1,1.0,1
يُذْكَرِ,ي,ذكر,,1,1.0,1
لَفِسْقٌ,,ل+فسق,,1,1.0,1
لَيُوحُونَ,,ل+ي+وح+ون+None+None,,1,1.0,1
أَوْلِيَائِهِمْ,,أوليائ,هم,1,1.0,1
لِيُجَادِلُوكُمْ,ل|ي,جادل,و|كم,1,1.0,1
أَطَعْتُمُوهُمْ,,أطع+تم+و,هم,1,1.0,1
لَمُشْرِكُونَ,,ل+مشرك,ون,1,1.0,1
فَأَحْيَيْنَاهُ,ف|أ,حيي,نا|ه,1,1.0,1
مَثَلُهُ,,مثل,(null)|ه,1,1.0,1
بِخَارِجٍ,ب,خارج,,1,1.0,1
أَكَابِرَ,,أكابر,(null),1,1.0,1
مُجْرِمِيهَا,,مجرم,ي|ها,1,1.0,1
لِيَمْكُرُوا,ل|ي,مكر,وا,1,1.0,1
نُؤْتَى,ن,ؤتى,,1,1.0,1
صَغَارٌ,,صغار,(null),1,1.0,1
يَهْدِيَهُ,ي,هدي,ه,1,1.0,1
يَشْرَحْ,ي,شرح,,1,1.0,1
يُضِلَّهُ,ي,ضل,ه,1,1.0,1
يَصَّعَّدُ,ي,صعد,,1,1.0,1
صِرَاطُ,,صراط,,1,1.0,1
وَلِيُّهُمْ,,ولي,هم,1,1.0,1
اسْتَكْثَرْتُمْ,,استكثر,تم,1,1.0,1
أَوْلِيَاؤُهُمْ,,أولياؤ,هم,1,1.0,1
وَبَلَغْنَا,و,بلغ,نا,1,1.0,1
أَجَلَنَا,,أجل,نا,1,1.0,1
أَجَّلْتَ,,أجل,ت,1,1.0,1
مَثْوَاكُمْ,,مثوا,كم,1,1.0,1
نُوَلِّي,ن,ولي,,1,1.0,1
أَنْفُسِنَا,,أنفس,(null)|نا,1,1.0,1
وَيَسْتَخْلِفْ,و|ي,ستخلف,,1,1.0,1
بَعْدِكُمْ,,بعد,كم,1,1.0,1
لِشُرَكَائِنَا,ل,شركائ,نا,1,1.0,1
لِشُرَكَائِهِمْ,ل,شركائ,هم,1,1.0,1
لِكَثِيرٍ,ل,كثير,,1,1.0,1
أَوْلَادِهِمْ,,أولاد,هم,1,1.0,1
لِيُرْدُوهُمْ,ل|ي,رد,و|هم,1,1.0,1
وَلِيَلْبِسُوا,و|ل|ي,لبس+وا+None,,1,1.0,1
أَنْعَامٌ,,أنعام,,1,1.0,1
وَحَرْثٌ,و,حرث,,1,1.0,1
حِجْرٌ,,حجر,,1,1.0,1
يَطْعَمُهَا,ي,طعم,ها,1,1.0,1
ظُهُورُهَا,,ظهور,(null)|ها,1,1.0,1
خَالِصَةٌ,,خالص,ة|(null),1,1.0,1
لِذُكُورِنَا,ل,ذكور,نا,1,1.0,1
وَمُحَرَّمٌ,و,محرم,,1,1.0,1
وَصْفَهُمْ,,وصف,هم,1,1.0,1
قَتَلُوا,,قتل,وا,1,1.0,1
أَوْلَادَهُمْ,,أولاد,هم,1,1.0,1
سَفَهَاً,,سفه,ا,1,1.0,1
وَحَرَّمُوا,و,حرم,وا,1,1.0,1
وَالزَّرْعَ,و|ال,زرع,,1,1.0,1
أُكُلُهُ,,أكل,ه,1,1.0,1
حَصَادِهِ,,حصاد,ه,1,1.0,1
حَمُولَةً,,حمول,ة,1,1.0,1
وَفَرْشَاً,و,فرش,ا,1,1.0,1
الضَّأْنِ,ال,ضأن,,1,1.0,1
الْمَعْزِ,ال,معز,,1,1.0,1
نَبِّئُونِي,,نبئ+و+ن,ي,1,1.0,1
وَصَّاكُمُ,,وصا,كم,1,1.0,1
مُحَرَّمَاً,,محرم,ا,1,1.0,1
طَاعِمٍ,,طاعم,,1,1.0,1
يَطْعَمُهُ,ي,طعم,ه,1,1.0,1
دَمَاً,,دم,ا,1,1.0,1
مَسْفُوحَاً,,مسفوح,ا,1,1.0,1
خِنْزِيرٍ,,خنزير,,1,1.0,1
فِسْقَاً,,فسق,ا,1,1.0,1
ظُفُرٍ,,ظفر,,1,1.0,1
وَالْغَنَمِ,و|ال,غنم,,1,1.0,1
شُحُومَهُمَا,,شحوم,هما,1,1.0,1
ظُهُورُهُمَا,,ظهور,هما,1,1.0,1
الْحَوَايَا,ال,حوايا,,1,1.0,1
اخْتَلَطَ,,اختلط,,1,1.0,1
بِعَظْمٍ,ب,عظم,,1,1.0,1
بِبَغْيِهِمْ,ب,بغي,هم,1,1.0,1
وَاسِعَةٍ,,واسع,ة,1,1.0,1
بَأْسُهُ,,بأس,ه,1,1.0,1
أَشْرَكْنَا,,أشرك,نا,1,1.0,1
فَتُخْرِجُوهُ,ف|ت,خرج,و|ه,1,1.0,1
تَخْرُصُونَ,ت,خرص,ون,1,1.0,1
الْحُجَّةُ,ال,حج,ة,1,1.0,1
الْبَالِغَةُ,ال,بالغ,ة|(null),1,1.0,1
شُهَدَاءَكُمُ,,شهداء,كم,1,1.0,1
تَشْهَدْ,ت,شهد,,1,1.0,1
أَتْلُ,أ,تل,,1,1.0,1
نَرْزُقُكُمْ,ن,رزق,كم,1,1.0,1
وَإِيَّاهُمْ,و,إيا,هم,1,1.0,1
فَاعْدِلُوا,ف,ا+عدل,وا,1,1.0,1
وَبِعَهْدِ,و|ب,عهد,,1,1.0,1
صِرَاطِي,,صراط,ي,1,1.0,1
السُّبُلَ,ال,سبل,,1,1.0,1
فَتَفَرَّقَ,ف,تفرق,,1,1.0,1
تَمَامَاً,,تمام,ا,1,1.0,1
طَائِفَتَيْنِ,,طائف,ت|ين,1,1.0,1
دِرَاسَتِهِمْ,,دراس,ت|هم,1,1.0,1
وَصَدَفَ,و,صدف,,1,1.0,1
سَنَجْزِي,,س+ن+جزي,,1,1.0,1
إِيمَانِهَا,,إيمان,ها,1,1.0,1
انْتَظِرُوا,,انتظر,وا,1,1.0,1
أَمْرُهُمْ,,أمر,هم,1,1.0,1
عَشْرُ,,عشر,,1,1.0,1
أَمْثَالِهَا,,أمثال,ها,1,1.0,1
قِيَمَاً,,قيم,ا,1,1.0,1
صَلَاتِي,,صلا,ت|ي,1,1.0,1
وَنُسُكِي,و,نسك,ي,1,1.0,1
وَمَحْيَايَ,و,محيا,ي,1,1.0,1
وَمَمَاتِي,و,ممات,ي,1,1.0,1
شَرِيكَ,,شريك,,1,1.0,1
وَبِذَلِكَ,و|ب,ذلك,,1,1.0,1
أَبْغِي,أ,بغي,,1,1.0,1
رَبَّاً,,ربا,,1,1.0,1
المص,,المص,,1,1.0,1
صَدْرِكَ,,صدر,ك,1,1.0,1
فَجَاءَهَا,ف,جاء+ها+None+None,,1,1.0,1
قَائِلُونَ,,قائل,ون,1,1.0,1
فَلَنَسْأَلَنَّ,,ف+ل+ن+سأل+ن,,1,1.0,1
وَلَنَسْأَلَنَّ,و,ل+ن+سأل+ن,,1,1.0,1
فَلَنَقُصَّنَّ,,ف+ل+ن+قص+ن,,1,1.0,1
غَائِبِينَ,,غائب,ين,1,1.0,1
وَالْوَزْنُ,و|ال,وزن,(null),1,1.0,1
صَوَّرْنَاكُمْ,,صور,نا|كم,1,1.0,1
أَمَرْتُكَ,,أمر,ت|ك,1,1.0,1
فَاهْبِطْ,,ف+ا+هبط,,1,1.0,1
تَتَكَبَّرَ,ت,تكبر,,1,1.0,1
أَنْظِرْنِي,,أنظر+ن,ي,1,1.0,1
لَأَقْعُدَنَّ,,ل+أ+قعد+ن,,1,1.0,1
صِرَاطَكَ,,صراط,ك,1,1.0,1
لَآتِيَنَّهُمْ,,ل+آ+تي+ن,هم,1,1.0,1
شَمَائِلِهِمْ,,شمائل,هم,1,1.0,1
شَاكِرِينَ,,شاكر,ين,1,1.0,1
مَذْءُومَاً,,مذءوم,ا,1,1.0,1
وَيَاآدَمُ,و,آدم+يا+None,,1,1.0,1
فَكُلَا,ف,كل,ا,1,1.0,1
لِيُبْدِيَ,ل|ي,بدي,,1,1.0,1
وُورِيَ,,ووري,,1,1.0,1
نَهَاكُمَا,,نها,كما,1,1.0,1
مَلَكَيْنِ,,ملك,ين,1,1.0,1
الْخَالِدِينَ,ال,خالد,ين,1,1.0,1
وَقَاسَمَهُمَا,و,قاسم,هما,1,1.0,1
فَدَلَّاهُمَا,ف,دلا,هما,1,1.0,1
بِغُرُورٍ,ب,غرور,,1,1.0,1
ذَاقَا,,ذاق,ا,1,1.0,1
بَدَتْ,,بد,ت,1,1.0,1
وَنَادَاهُمَا,و,نادا,هما,1,1.0,1
أَنْهَكُمَا,أ,نه,كما,1,1.0,1
تِلْكُمَا,,تلك+ما,,1,1.0,1
وَأَقُلْ,و|أ,قل,,1,1.0,1
ظَلَمْنَا,,ظلم,نا,1,1.0,1
أَنْفُسَنَا,,أنفس,(null)|نا,1,1.0,1
وَتَرْحَمْنَا,و|ت,رحم,نا,1,1.0,1
تَحْيَوْنَ,ت,حي,ون,1,1.0,1
تَمُوتُونَ,ت,موت,ون,1,1.0,1
سَوْآتِكُمْ,,سوآ,ت|كم,1,1.0,1
وَرِيشَاً,و,ريش,ا,1,1.0,1
وَلِبَاسُ,و,لباس,,1,1.0,1
يَفْتِنَنَّكُمُ,ي,فتن+ن,كم,1,1.0,1
أَبَوَيْكُمْ,,أبو,ي|كم,1,1.0,1
يَنْزِعُ,ي,نزع,,1,1.0,1
لِبَاسَهُمَا,,لباس,هما,1,1.0,1
لِيُرِيَهُمَا,,ل+ي+ري,هما,1,1.0,1
وَقَبِيلُهُ,و,قبيل+ه+None,,1,1.0,1
تَرَوْنَهُمْ,ت,ر+ون+هم+None+None,,1,1.0,1
أَمَرَنَا,,أمر,نا,1,1.0,1
بَدَأَكُمْ,,بدأ,كم,1,1.0,1
تَعُودُونَ,ت,عود,ون,1,1.0,1
إِنَّهُمُ,,إن,هم,1,1.0,1
زِينَتَكُمْ,,زين,ت|كم,1,1.0,1
وَالطَّيِّبَاتِ,و|ال,طيب,ات,1,1.0,1
وَالْإِثْمَ,و|ال,إثم,,1,1.0,1
وَالْبَغْيَ,و|ال,بغي,,1,1.0,1
يَنَالُهُمْ,ي,نال,هم,1,1.0,1
نَصِيبُهُمْ,,نصيب,هم,1,1.0,1
يَتَوَفَّوْنَهُمْ,ي,توف+ون+هم+None+None,,1,1.0,1
دَخَلَتْ,,دخل,ت,1,1.0,1
لَعَنَتْ,,لعن,ت,1,1.0,1
أُخْتَهَا,,أخت,ها,1,1.0,1
ادَّارَكُوا,,ادارك,وا,1,1.0,1
أُخْرَاهُمْ,,أخرا,هم,1,1.0,1
لِأُولَاهُمْ,ل,أولا,هم,1,1.0,1
أَضَلُّونَا,,أضل,و|نا,1,1.0,1
فَآتِهِمْ,,ف+آت,هم,1,1.0,1
ضِعْفٌ,,ضعف,(null),1,1.0,1
أُولَاهُمْ,,أولا,هم,1,1.0,1
لِأُخْرَاهُمْ,ل,أخرا,هم,1,1.0,1
تُفَتَّحُ,ت,فتح,,1,1.0,1
أَبْوَابُ,,أبواب,(null),1,1.0,1
يَلِجَ,ي,لج,,1,1.0,1
الْجَمَلُ,ال,جمل,,1,1.0,1
سَمِّ,,سم,,1,1.0,1
الْخِيَاطِ,ال,خياط,,1,1.0,1
مِهَادٌ,,مهاد,,1,1.0,1
غَوَاشٍ,,غواش,,1,1.0,1
لِنَهْتَدِيَ,ل|ن,هتدي,,1,1.0,1
وَنُودُوا,و,نود,وا,1,1.0,1
تِلْكُمُ,,تلك+م,,1,1.0,1
فَأَذَّنَ,ف,أذن,,1,1.0,1
وَبَيْنَهُمَا,و,بين,هما,1,1.0,1
يَطْمَعُونَ,ي,طمع,ون,1,1.0,1
صُرِفَتْ,,صرف,ت,1,1.0,1
يَعْرِفُونَهُمْ,ي,عرف+ون+هم+None+None,,1,1.0,1
جَمْعُكُمْ,,جمع,كم,1,1.0,1
يَنَالُهُمُ,ي,نال,هم,1,1.0,1
حَرَّمَهُمَا,,حرم,هما,1,1.0,1
نَنْسَاهُمْ,ن,نسا+هم+None,,1,1.0,1
يَوْمِهِمْ,,يوم,هم,1,1.0,1
جِئْنَاهُمْ,,جئ,نا|هم,1,1.0,1
نَسُوهُ,,نس,و|ه,1,1.0,1
فَيَشْفَعُوا,,ف+ي+شفع,وا,1,1.0,1
فَنَعْمَلَ,,ف+ن+عمل,,1,1.0,1
يَطْلُبُهُ,ي,طلب,ه,1,1.0,1
حَثِيثَاً,,حثيث,ا,1,1.0,1
وَالنُّجُومَ,و|ال,نجوم,,1,1.0,1
أَقَلَّتْ,,أقل,ت,1,1.0,1
ثِقَالَاً,,ثقال,ا,1,1.0,1
سُقْنَاهُ,,سق,نا|ه,1,1.0,1
لِبَلَدٍ,ل,بلد,,1,1.0,1
وَالْبَلَدُ,و|ال,بلد,,1,1.0,1
خَبُثَ,,خبث,,1,1.0,1
نَكِدَاً,,نكد,ا,1,1.0,1
ضَلَالَةٌ,,ضلال,ة,1,1.0,1
العَالَمِينَ,ال,عالم,ين,1,1.0,1
وَأَنْصَحُ,و|أ,نصح,,1,1.0,1
وَلِتَتَّقُوا,و|ل|ت,تق,وا,1,1.0,1
عَمِينَ,,عم,ين,1,1.0,1
سَفَاهَةٍ,,سفاه,ة,1,1.0,1
لَنَظُنُّكَ,,ل+ن+ظن,ك,1,1.0,1
سَفَاهَةٌ,,سفاه,ة,1,1.0,1
نَاصِحٌ,,ناصح,,1,1.0,1
وَزَادَكُمْ,و,زاد,كم,1,1.0,1
لِنَعْبُدَ,ل|ن,عبد,,1,1.0,1
وَنَذَرَ,و|ن,ذر,,1,1.0,1
وَغَضَبٌ,و,غضب,(null),1,1.0,1
أَتُجَادِلُونَنِي,أ|ت,جادل+و+ن+ن,ي,1,1.0,1
أَسْمَاءٍ,,أسماء,,1,1.0,1
وَقَطَعْنَا,و,قطع,نا,1,1.0,1
وَبَوَّأَكُمْ,و,بوأ,كم,1,1.0,1
سُهُولِهَا,,سهول,ها,1,1.0,1
أَتَعْلَمُونَ,أ|ت,علم+ون+None+None,,1,1.0,1
مُرْسَلٌ,,مرسل,,1,1.0,1
فَعَقَرُوا,ف,عقر+وا+None+None,,1,1.0,1
رِسَالَةَ,,رسال,ة,1,1.0,1
أَخْرِجُوهُمْ,,أخرج,و|هم,1,1.0,1
فَأَوْفُوا,ف,أوف,وا,1,1.0,1
تُوعِدُونَ,ت,وعد,ون,1,1.0,1
وَتَصُدُّونَ,و|ت,صد+ون+None+None,,1,1.0,1
وَتَبْغُونَهَا,و|ت,بغ+ون+ها+None+None,,1,1.0,1
فَكَثَّرَكُمْ,ف,كثر,كم,1,1.0,1
وَانْظُرُوا,و,ا+نظر,وا,1,1.0,1
لَنُخْرِجَنَّكَ,,ل+ن+خرج+ن,ك,1,1.0,1
قَرْيَتِنَا,,قري,ت|نا,1,1.0,1
كَارِهِينَ,,كاره,ين,1,1.0,1
افْتَرَيْنَا,,افتري,نا,1,1.0,1
مِلَّتِكُمْ,,مل,ت|كم,1,1.0,1
نَعُودَ,ن,عود,,1,1.0,1
افْتَحْ,,ا+فتح,,1,1.0,1
قَوْمِنَا,,قوم,نا,1,1.0,1
الْفَاتِحِينَ,ال,فاتح,ين,1,1.0,1
اتَّبَعْتُمْ,,اتبع,تم,1,1.0,1
آسَى,,آسى,,1,1.0,1
يَضَّرَّعُونَ,ي,ضرع+ون+None+None,,1,1.0,1
السَّيِّئَةِ,ال,سيئ,ة,1,1.0,1
الْحَسَنَةَ,ال,حسن,ة|(null),1,1.0,1
عَفَوْا,,عف,وا,1,1.0,1
الضَّرَّاءُ,ال,ضراء,,1,1.0,1
وَالسَّرَّاءُ,و|ال,سراء,,1,1.0,1
لَفَتَحْنَا,,ل+فتح,نا,1,1.0,1
بَرَكَاتٍ,,برك,ات,1,1.0,1
أَوَأَمِنَ,أ|و,أمن,,1,1.0,1
يَأْمَنُ,ي,أمن,,1,1.0,1
أَصَبْنَاهُمْ,,أصب,نا|هم,1,1.0,1
وَنَطْبَعُ,و|ن,طبع,,1,1.0,1
أَنْبَائِهَا,,أنبائ,ها,1,1.0,1
لِأَكْثَرِهِمْ,ل,أكثر,هم,1,1.0,1
عَهْدٍ,,عهد,(null),1,1.0,1
لَفَاسِقِينَ,,ل+فاسق,ين,1,1.0,1
حَقِيقٌ,,حقيق,,1,1.0,1
وَأَرْسِلْ,و,أرسل,(null),1,1.0,1
الْمُلْقِينَ,ال,ملق,ين,1,1.0,1
سَحَرُوا,,سحر,وا,1,1.0,1
أَعْيُنَ,,أعين,(null),1,1.0,1
وَاسْتَرْهَبُوهُمْ,و,استرهب,و|هم,1,1.0,1
فَوَقَعَ,,ف+وقع,,1,1.0,1
وَبَطَلَ,و,بطل,,1,1.0,1
فَغُلِبُوا,ف,غلب,وا,1,1.0,1
وَانْقَلَبُوا,و,انقلب,وا,1,1.0,1
صَاغِرِينَ,,صاغر,ين,1,1.0,1
وَأُلْقِيَ,و,ألقي,,1,1.0,1
لَمَكْرٌ,,ل+مكر,,1,1.0,1
مَكَرْتُمُوهُ,,مكر+تم+و,ه,1,1.0,1
لِتُخْرِجُوا,,ل+ت+خرج+وا+None,,1,1.0,1
لَأُصَلِّبَنَّكُمْ,ل|أ,صلب+ن,كم,1,1.0,1
تَنْقِمُ,ت,نقم,,1,1.0,1
جَاءَتْنَا,,جاء,ت|نا,1,1.0,1
أَتَذَرُ,أ|ت,ذر,,1,1.0,1
وَقَوْمَهُ,و,قوم,ه,1,1.0,1
لِيُفْسِدُوا,,ل+ي+فسد+وا+None,,1,1.0,1
وَيَذَرَكَ,و|ي,ذر,ك,1,1.0,1
وَآلِهَتَكَ,و,آله,ت|ك,1,1.0,1
سَنُقَتِّلُ,س|ن,قتل,,1,1.0,1
وَنَسْتَحْيِي,و|ن,ستحيي,,1,1.0,1
قَاهِرُونَ,,قاهر,ون,1,1.0,1
يُورِثُهَا,ي,ورث,ها,1,1.0,1
أُوذِينَا,,أوذي,نا,1,1.0,1
تَأْتِيَنَا,ت,أتي,نا,1,1.0,1
عَدُوَّكُمْ,,عدو,كم,1,1.0,1
وَيَسْتَخْلِفَكُمْ,و|ي,ستخلف,كم,1,1.0,1
فَيَنْظُرَ,ف|ي,نظر,,1,1.0,1
بِالسِّنِينَ,ب|ال,سن,ين,1,1.0,1
يَطَّيَّرُوا,ي,طير+وا+None,,1,1.0,1
بِمُوسَى,ب,موسى,,1,1.0,1
طَائِرُهُمْ,,طائر,هم,1,1.0,1
مَهْمَا,,مهما,,1,1.0,1
تَأْتِنَا,ت,أت,نا,1,1.0,1
لِتَسْحَرَنَا,ل|ت,سحر,نا,1,1.0,1
الطُّوفَانَ,ال,طوفان,,1,1.0,1
وَالْجَرَادَ,و|ال,جراد,,1,1.0,1
وَالْقُمَّلَ,و|ال,قمل,,1,1.0,1
وَالضَّفَادِعَ,و|ال,ضفادع,,1,1.0,1
مُفَصَّلَاتٍ,,مفصل,ات,1,1.0,1
الرِّجْزُ,ال,رجز,,1,1.0,1
كَشَفْتَ,,كشف,ت,1,1.0,1
لَنُؤْمِنَنَّ,,ل+ن+ؤمن+ن,,1,1.0,1
وَلَنُرْسِلَنَّ,و,ل+ن+رسل+ن,,1,1.0,1
بَالِغُوهُ,,بالغ,و|ه,1,1.0,1
يُسْتَضْعَفُونَ,ي,ستضعف,ون,1,1.0,1
مَشَارِقَ,,مشارق,,1,1.0,1
وَمَغَارِبَهَا,و,مغارب,ها,1,1.0,1
وَدَمَّرْنَا,و,دمر,نا,1,1.0,1
يَصْنَعُ,ي,صنع,,1,1.0,1
وَقَوْمُهُ,و,قوم,ه,1,1.0,1
فَأَتَوْا,ف,أت,وا,1,1.0,1
يَعْكُفُونَ,ي,عكف,ون,1,1.0,1
أَصْنَامٍ,,أصنام,,1,1.0,1
مُتَبَّرٌ,,متبر,,1,1.0,1
أَبْغِيكُمْ,أ,بغي,كم,1,1.0,1
فَضَّلَكُمْ,,فضل,كم,1,1.0,1
يُقَتِّلُونَ,ي,قتل+ون+None+None,,1,1.0,1
وَوَاعَدْنَا,و,واعد+نا+None+None,,1,1.0,1
ثَلَاثِينَ,,ثلاث,ين,1,1.0,1
وَأَتْمَمْنَاهَا,و,أتمم,نا|ها,1,1.0,1
بِعَشْرٍ,ب,عشر,,1,1.0,1
فَتَمَّ,ف,تم,,1,1.0,1
مِيقَاتُ,,ميقات,,1,1.0,1
لِأَخِيهِ,ل,أخي,ه,1,1.0,1
اخْلُفْنِي,,ا+خلف+ن,ي,1,1.0,1
وَكَلَّمَهُ,و,كلم,ه,1,1.0,1
أَنْظُرْ,أ,نظر,,1,1.0,1
الْجَبَلِ,ال,جبل,,1,1.0,1
اسْتَقَرَّ,,ٱستقر,(null),1,1.0,1
لِلْجَبَلِ,ل|ال,جبل,,1,1.0,1
صَعِقَاً,,صعق,ا,1,1.0,1
أَفَاقَ,,أفاق,,1,1.0,1
اصْطَفَيْتُكَ,,اصطفي,ت|ك,1,1.0,1
بِرِسَالَاتِي,ب,رسال,ات|ي,1,1.0,1
وَبِكَلَامِي,و|ب,كلام,ي,1,1.0,1
آتَيْتُكَ,,آتي,ت|ك,1,1.0,1
الْأَلْوَاحِ,ال,ألواح,,1,1.0,1
مَوْعِظَةً,,موعظ,ة|(null),1,1.0,1
