Root,Example_Word,Example_Wazn,Example_Count,Unique_Words,Total_Occurrences
فوت,فَاتَكُمْ,فَالَ,6,3,9
قتر,يَقْتُرُوا,يَفْعُل,3,4,9
قرأ,اقْرَأْ,إِفْعَلْ,6,2,9
قرف,اقْتَرَفْتُمُوهَا,افْتَعَل,4,3,9
قما,يُقِيمَا,يُفِيعَل,9,1,9
قنط,الْقَانِطِينَ,فَاعِل,3,4,9
كفف,يَكُفُّونَ,يَفُعُّونَ,5,3,9
لمز,تَلْمِزُوا,تَفْعِل,3,3,9
معش,مَعِيشَةً,فَعِيلَة,3,3,9
مقن,مُوقِنِينَ,فُوعِل,4,3,9
نذق,نُذِقْهُ,فُعِل,9,1,9
نسف,نَسْفَاً,فَعْل,4,3,9
هنل,هُنَالِكَ,فُعَال,9,1,9
هون,الْهُونِ,فُعِل,6,3,9
هوي,تَهْوِي,تَفْعِل,4,3,9
وون,يَسْتَوُونَ,يَسْتَفعِل,9,1,9
يضع,يَضَعْنَ,فَعْلَان,9,1,9
يغو,يَغْنَوْا,فَعْنَل,9,1,9
ينا,بَيَّنَّا,فَّعَّل,6,2,9
يوزع,يُوزَعُونَ,فُفَعل,9,1,9
يوس,يَئِسُوا,فَالُوا,4,4,9
ءتن,آتُونِي,فَاعُول,8,1,8
ءزف,الْآزِفَةُ,فَاعِلَة,4,2,8
أجب,أَجَبْتُمُ,فَعَل,2,4,8
أجد,أَجِدُ,فَعل,6,2,8
أذلة,أَذِلَّةً,فَفِعَّل,4,3,8
أفت,أَفْتُونِي,فَعْل,8,1,8
أكنة,أَكِنَّةً,فَفِعَّل,6,2,8
أمم,الْأُمِّيَّ,فُعِّ,3,3,8
ؤثر,تُؤْثِرُونَ,تُفْعِل,3,3,8
إنجل,الْإِنْجِيلَ,فِعْلِيل,4,2,8
بتو,يُبَيِّتُونَ,يُفَيِّعُل,8,1,8
برق,الْبَرْقَ,فَعْل,4,4,8
برية,الْبَرِيَّةِ,فَفِعَّل,8,1,8
بلس,مُبْلِسُونَ,مُفْعِلُون,6,2,8
بلي,نَبْتَلِيهِ,افْتَعَل,3,4,8
بنن,بَيْنِنَا,فَيْعِل,8,1,8
بول,بَالَهُمْ,فَالَ,4,2,8
تدر,تُدِيرُونَهَا,فُعِيل,6,2,8
تدع,تَدَّعُونَ,فَعَّل,8,1,8
تصر,الْمُنْتَصِرِينَ,مُنْفَعِل,3,4,8
تفض,تُفِيضُونَ,فُعِيل,8,1,8
تقي,تَقِيكُمُ,فَعل,3,3,8
جئن,جِئْنَا,فِعْل,8,1,8
جتم,جِئْتُمُونَا,فِئْعُل,8,1,8
حرب,يُحَارِبُونَ,يُفَاعِل,3,4,8
حرص,تَحْرِصْ,تَفْعِلْ,2,5,8
حصد,حَصِيدَاً,فَعِيل,4,3,8
حصر,أُحْصِرُوا,أُفْعِل,2,4,8
حور,يُحَاوِرُهُ,يُفَاعِل,6,2,8
حيو,تَحْيَوْنَ,تَفْعَلْنَ,3,3,8
ختم,خِتَامُهُ,فِعَال,2,5,8
خذه,خُذُوهُ,فُعُول,6,2,8
خرر,يَخِرُّوا,يَفِعُّ,3,3,8
خشا,تَخْشَاهُ,تَفْعَل,4,2,8
دحر,مَدْحُورَاً,مَفْعُول,6,2,8
درر,مِدْرَارَاً,مِفْعَال,6,2,8
ديي,لَدَيَّ,فَعَّ,8,1,8
ذرع,ذَرْعَاً,فَعْل,4,3,8
رءو,رَآهُ,فَعَاهُ,8,1,8
رحب,رَحُبَتْ,فَعل,4,2,8
ركض,تَرْكُضُوا,تَفْعُل,3,3,8
زلق,لَيُزْلِقُونَكَ,يُفْعِل,6,2,8
زيي,زَيَّنَّا,فَعَّ,8,1,8
سأم,تَسْأَمُوا,تَفْعَل,3,3,8
سرح,تَسْرَحُونَ,تَفْعَلُونَ,3,3,8
سفح,مُسَافِحِينَ,مُفَاعِل,4,3,8
سمم,السَّمُومِ,فَعُول,4,3,8
سود,فَسَادَاً,فَالَ,6,3,8
شأن,شَأْنٍ,فَعْل,4,3,8
شيخ,شَيْخَاً,فَعْل,4,3,8
صطل,تَصْطَلُونَ,تَفْعَلُونَ,8,1,8
صلن,فَصَّلْنَا,فَّعْل,6,2,8
عجم,أَعْجَمِيَّاً,أَفْعَل,3,3,8
عضل,تَعْضُلُوهُنَّ,تَفْعُل,8,1,8
عفا,عَفَا,فَعَل,6,2,8
غيث,يَسْتَغِيثَانِ,يَسْتَفعِل,5,2,8
فيض,أَفِيضُوا,أَفعِل,4,2,8
قءن,لِقَاءَنَا,فَأَعل,8,1,8
كاد,تَكَادُ,تَفَعُل,6,2,8
لحق,يَلْحَقُوا,يَفْعَل,6,2,8
لعم,الْعُمْيَ,أُفْعُلْ,4,2,8
لقى,يُلْقَى,يُفْعَل,6,2,8
لهو,لَهْوَاً,فَعْل,6,2,8
مأى,الْمَأْوَى,فَعْوَل,8,1,8
ملق,مُلْقُونَ,فُعْل,4,3,8
نحت,تَنْحِتُونَ,تَفْعِلُونَ,5,2,8
ندو,يُنَادَوْنَ,يُفَاعَل,8,1,8
نفر,تَنْفِرُوا,تَفْعِل,6,2,8
هنئ,هَنِيئَاً,فَعِيل,8,1,8
وجل,وَجِلَتْ,فَعل,4,3,8
وسل,الْوَسِيلَةَ,فَعِيلَة,8,1,8
وصا,وَصَّاكُمْ,فَعَّل,6,2,8
وصي,يُوصِيكُمُ,يُفعِل,3,3,8
وكأ,وَيْكَأَنَّهُ,فَيْعَل,5,2,8
يزر,يَزِرُونَ,فَعل,8,1,8
يسك,يُمْسِكُهُنَّ,فُمْعِل,6,2,8
أذى,أَذَىً,فَعَل,7,1,7
أصب,أَصَبْنَاهُمْ,فَعَلْنَا,3,3,7
أعم,أَنْعَمَ,فَنْعَل,5,2,7
أقم,أَقِمِ,فَعل,4,3,7
أوب,أَوَّابٌ,فَعَّال,4,3,7
بدع,ابْتَدَعُوهَا,افْتَعَل,3,3,7
برأ,نَبْرَأَهَا,نَفْعَل,3,3,7
برو,تَبَرُّوهُمْ,تَفَعُّل,4,2,7
حجر,مَحْجُورَاً,مَفْعُول,4,3,7
حجو,يُحَاجُّوكُمْ,يُفَآعُّل,4,2,7
حم,حم,فِل,7,1,7
حيء,أَحْيَاءٌ,أَفْعَالٍ,2,5,7
خذل,يَخْذُلْكُمْ,يَفْعُل,3,3,7
خرت,أَخَّرْتَنِ,أَفَّعْل,4,2,7
خلط,تُخَالِطُوهُمْ,تُفَاعِل,4,3,7
دعي,الدَّاعِيَ,فَاعِل,2,4,7
رأي,رَأَيْتُمُوهُ,فَعَل,4,3,7
رصد,رَصَدَاً,فَعَل,4,3,7
زبر,زَبُورَاً,فَعُول,4,3,7
سجر,يُسْجَرُونَ,يُفْعَل,3,3,7
سجن,الْمَسْجُونِينَ,مَفْعُول,3,4,7
سحب,يُسْحَبُونَ,يُفْعَل,7,1,7
سكر,سَكْرَتِهِمْ,فَعْل,3,3,7
شري,نَشْتَرِي,افْتَعَل,2,4,7
شطر,شَطْرَهُ,فَعْلَهُ,4,2,7
صبه,يُصِبْهَا,يُفِعْل,3,3,7
ضره,يَضُرُّهُ,يَفُعُّل,3,3,7
طلب,يَطْلُبُهُ,يَفْعُل,3,3,7
عبث,تَعْبَثُونَ,تَفْعَلُونَ,5,2,7
عتي,عِتِيَّاً,فِعِلّ,4,2,7
عدء,أَعْدَاءً,أَفْعَالٍ,3,4,7
عصف,عَاصِفَةً,فَاعِلَة,3,4,7
عقم,الْعَقِيمَ,فَعِيل,3,4,7
عمى,تَعْمَى,تَفْعَل,4,3,7
عين,عَيْنَ,فَعْل,2,4,7
فئد,الْأَفْئِدَةِ,أَفْعِلَة,3,3,7
قصي,قُصِّيهِ,فُعِّل,3,3,7
قلي,قَوْلِي,فَوْعِل,4,2,7
لعت,لَعْنَتَ,فَعْنَل,4,2,7
مات,مِائَتَيْنِ,فِعَال,6,2,7
متو,يَمُوتُونَ,يَفُولُونَ,4,2,7
مرب,مُرِيبٍ,فُعِيل,7,1,7
مرح,مَرَحَاً,فَعَل,4,2,7
مرد,مَرَدُوا,فَعَلُوا,2,5,7
منة,أَمَنَةً,أَفَعَل,4,2,7
نبن,نَبَّأَنِيَ,فَعَّال,3,3,7
ندى,نَادَى,فَأَعل,7,1,7
نشئ,الْمُنْشِئُونَ,مُفْعِلُون,3,3,7
نصف,نِصْفُ,فِعْل,3,3,7
وري,يُوَارِي,يُفَاعِل,4,3,7
يبس,يَابِسَاتٍ,فَاعِلَات,4,3,7
يوعظ,يُوعَظُ,فُفَعل,4,2,7
ءثم,الْآثِمِينَ,فَاعِل,3,3,6
أبن,ابْنُوا,فُعْل,6,1,6
أتى,أَتَى,فَعَل,6,1,6
أتيا,يَأْتِيَانِهَا,يَفْفِعَل,6,1,6
أجج,أُجَاجٌ,فُعَال,2,4,6
أسف,أَسِفَاً,فَعل,4,2,6
أسكن,اسْكُنُوا,افْتَعَل,6,1,6
أعظ,أَعِظُكَ,فَعل,3,2,6
أمكث,امْكُثُوا,فُعْلُل,6,1,6
أنب,أُنِيبُ,فُعِيل,4,2,6
ؤتى,يُؤْتَى,يُفْعَل,4,2,6
إثن,اثْنَتَيْ,فِعْل,3,3,6
إصر,إِصْرَاً,فِعْل,2,3,6
إلغ,الْغَيِّ,فِعْل,6,1,6
إلم,الم,فِعَل,6,1,6
اتي,آتَيْتُمْ,أَفَعَل,6,1,6
اذن,آذَنَ,أَفَعَل,3,2,6
الو,يَنَالُوا,يَنفُعُل,6,1,6
بدئ,يُبْدِئُ,يُفْعِل,6,1,6
برح,أَبْرَحَ,أَفْعَل,2,3,6
بطن,بَاطِنُهُ,فَاعِل,2,3,6
بعدم,بَعْدَمَا,فَفْعَل,6,1,6
بقن,سَبَقُونَا,فَعُول,6,1,6
بوء,بَاءَ,فَالَ,2,3,6
بوا,أَبَوَاهُ,أَفَعَل,6,1,6
تبت,تُبْتُ,فُعْل,6,1,6
تحية,تَحِيَّةً,فَفِعَّل,6,1,6
تحيت,تَحِيَّتُهُمْ,فَفِعَّل,6,1,6
ترث,التُّرَاثَ,فُعَال,3,2,6
تكر,تَكْرَهُوا,فَعْلَهُ,6,1,6
تها,أَتَاهَا,أَفَاعَل,6,1,6
تهى,تَهْوَى,فَعْوَل,6,1,6
توا,أَتَوْا,أَفَعْل,6,1,6
ثخن,أَثْخَنْتُمُوهُمْ,أَفْعَلْ,4,2,6
ثلة,ثُلَّةٌ,فُعَّل,6,1,6
ثلي,مِثْلَيْهَا,مِفْعَل,3,2,6
ثمنة,ثَمَانِيَةَ,فَعَالِيل,4,2,6
جبا,اجْتَبَاهُ,افْتَعَل,4,2,6
جثي,جِثِيَّاً,فِعِلّ,4,2,6
حاط,أَحَاطَ,أَفَعُل,4,2,6
حبر,تُحْبَرُونَ,تُفْعَل,3,2,6
حدو,يُحَادُّونَ,يُفَآعُّل,6,1,6
حطمة,الْحُطَمَةُ,فُفَعل,3,2,6
حقه,حَقَّهُ,فَعَّل,6,1,6
ختصم,تَخْتَصِمُوا,تَفْعَلِل,3,2,6
خرة,الْخِيَرَةُ,فِيعَل,6,1,6
خسئ,خَاسِئِينَ,فَاعِل,4,2,6
خسار,خَسَارَاً,فَفَعَل,6,1,6
خصف,يَخْصِفَانِ,يَفْعِل,6,1,6
خطأ,أَخْطَأْتُمْ,أَفْعَلْ,2,3,6
خفة,خِيفَةً,فِيعَل,6,1,6
داع,الدَّاعِ,فَعَل,6,1,6
دكك,دَكَّاً,فَعَّ,6,1,6
دلن,بَدَّلْنَا,فَّعْل,6,1,6
دهر,الدَّهْرُ,فَعْل,3,2,6
ذئق,ذَائِقَةُ,فَاعِلَة,6,1,6
ذوت,ذَاتَ,فَالَ,6,1,6
رؤي,الرُّؤْيَا,فُعْل,6,1,6
رائ,وَرَائِهِمْ,فَعَل,6,1,6
ردف,الرَّادِفَةُ,فَاعِلَة,3,3,6
رضعة,الرَّضَاعَةَ,فَفَاعَل,3,2,6
رغد,رَغَدَاً,فَعَل,6,1,6
ركن,تَرْكَنُوا,تَفْعَل,4,2,6
رمت,رَمَيْتَ,فَعَيْل,4,2,6
روف,رَءُوفٌ,فَاعِل,6,1,6
زجر,زَجْرَةٌ,فَعْلَة,4,2,6
زدو,زَادُوكُمْ,فَأَعل,3,2,6
زور,الزُّورَ,فُعِل,2,3,6
سخط,يَسْخَطُونَ,يَفْعَلُونَ,4,3,6
سطو,يَسْطُونَ,يَفْعُونَ,4,2,6
سعت,سَعَتِهِ,فَعَل,6,1,6
سقو,يَسْقُونَ,يَفْعُونَ,3,2,6
سمر,السَّامِرِيُّ,فَاعِل,4,2,6
سنت,سُنَّتَ,فُعَّل,4,2,6
سني,السِّنِينَ,فِعل,6,1,6
سوت,سَوَّيْتُهُ,فَعَّيْل,6,1,6
سوى,السُّوأَى,فُعَال,2,4,6
شئت,شِئْتَ,فِعْل,6,1,6
شحن,الْمَشْحُونِ,مَفْعُول,6,1,6
شرا,اشْتَرَاهُ,افْتَعَل,4,2,6
شطط,شَطَطَاً,فَعَل,4,2,6
شفعت,شَفَاعَتُهُمْ,فَفَاعَل,6,1,6
شقي,الْأَشْقَى,أَفْعَى,4,2,6
شهدت,شَهَادَتُهُمْ,فَفَاعَل,3,2,6
صبن,تُصِيبَنَا,تُفِيعَل,3,2,6
صلب,صَلَبُوهُ,فَعَل,3,2,6
ضجع,الْمَضَاجِعِ,مَفَاعِل,4,2,6
ضلت,فَضَّلْتُكُمْ,فَّعْل,6,1,6
ضللت,ضَلَالَتِهِمْ,فَفَاعَل,6,1,6
ضيق,ضَيِّقَاً,فَعِّل,4,2,6
طعة,طَاعَةٌ,فَأَعل,6,1,6
طغى,طَغَى,فَعَل,6,1,6
طقة,طَاقَةَ,فَأَعل,6,1,6
طقو,يُطِيقُونَهُ,يُفِيعُل,6,1,6
طمث,يَطْمِثْهُنَّ,يَفْعِل,6,1,6
طمس,اطْمِسْ,إِفْعِلْ,2,3,6
طوه,تَطَئُوهَا,تَفَاعُل,6,1,6
طير,يَطَّيَّرُوا,يَفَّعَّل,4,2,6
عتق,الْعَتِيقِ,فَعِيل,6,1,6
عذبه,عَذَابَهُ,فَفَاعَل,4,2,6
عصا,عَصَوْا,فَعَوْل,6,1,6
عصي,يَعْصِينَكَ,يَفْعِينَ,4,2,6
عقد,الْعُقَدِ,فُعل,2,3,6
غره,غَيْرِهِ,فَيْعِل,4,2,6
غرو,يُغَيِّرُوا,يُفَيِّعُل,6,1,6
غضض,يَغُضُّونَ,يَفُعُّونَ,3,2,6
غلو,تَغْلُوا,تَفْعُل,6,1,6
غيي,بَغِيَّاً,فِعَّ,4,2,6
فزع,الْفَزَعُ,فَعَل,2,4,6
فضح,تَفْضَحُونِ,تَفْعَل,6,1,6
فند,تُفَنِّدُونِ,تُفَعِّل,6,1,6
قصد,قَاصِدَاً,فَاعِل,2,3,6
قضت,قَضَيْتَ,فَعَيْل,2,3,6
قله,قَالَهَا,فَأَعل,2,3,6
قوا,أُلْقُوا,فُعِل,4,2,6
كبت,يَكْبِتَهُمْ,يَفْعِل,3,3,6
كرب,الْكَرْبِ,فَعْل,6,1,6
كظم,كَظِيمٌ,فَعِيل,3,3,6
كفي,كَفَيْنَاكَ,فَعَلْنَا,3,2,6
لغي,بَالِغِيهِ,أَفعِل,3,2,6
لقف,تَلْقَفُ,تَفْعَل,4,2,6
لكه,مُلْكَهُ,مُفْعَل,4,2,6
لمس,لَامَسْتُمُ,فَأَعل,4,2,6
مثا,مَثْوَاكُمْ,فَعْوَل,2,3,6
مجد,الْمَجِيدُ,فَعِيل,2,3,6
محص,مَحِيصٍ,فَعِيل,4,2,6
محض,الْمَحِيضِ,فَعِيل,6,1,6
مرا,مَرُّوا,فَعُّول,6,1,6
مزن,الْمِيزَانَ,فِيعَئِل,4,2,6
مضع,مَوَاضِعِهِ,فَوَاعِل,6,1,6
مكك,مَكَّنَّا,فَعَّ,6,1,6
منا,أَمَانَاتِكُمْ,أَفَاعَل,3,2,6
منت,أَمَانَتَهُ,أَفَاعَل,3,2,6
منى,تَمَنَّى,تَفَعَّل,2,3,6
مور,يُمَارُونَ,يُفَالُ,4,2,6
ميد,تَمِيدَ,تَفعِل,6,1,6
نبط,يَسْتَنْبِطُونَهُ,يَسْتَفْعِل,6,1,6
نثر,مَنْثُورَاً,مَفْعُول,4,2,6
ندمة,النَّدَامَةَ,فَفَاعَل,6,1,6
نزف,يُنْزَفُونَ,يُفْعَل,3,2,6
نست,نَسِيتُ,فَعِيل,4,2,6
نسل,يَنْسِلُونَ,يَفْعِلُونَ,6,1,6
نسو,أَنْسَوْكُمْ,أَفْعَلْ,3,2,6
نضر,نَاضِرَةٌ,فَاعِلَة,2,3,6
نفد,تَنْفَدَ,تَفْعَل,2,3,6
نفذ,تَنْفُذُوا,تَفْعُل,3,2,6
هدان,هَدَانِي,فَفَعَل,6,1,6
هرع,يُهْرَعُونَ,يُفْعَل,6,1,6
هطع,مُهْطِعِينَ,مُفْعِلِين,6,1,6
وتت,مَوْتَتَنَا,مَفْعَل,3,2,6
ودا,وَدُّوا,فَعُّول,6,1,6
وزع,أَوْزِعْنِي,أَفْعِلْنِي,6,1,6
وصية,الْوَصِيَّةُ,فَفِعَّل,3,2,6
وفق,تَوْفِيقِي,تَفْعِيلِي,2,3,6
وقف,وُقِفُوا,فُعِل,4,2,6
ومي,يَوْمَيْنِ,يَفْعَل,6,1,6
وهن,وَهَنُوا,فَعَلُوا,2,4,6
ويي,سَوِيَّاً,فِعَّ,6,1,6
يخف,يُخْفُونَ,فُعْل,6,1,6
يرد,يُرِدِ,فُعِل,6,1,6
يري,يُرِيكُمْ,فُعِل,3,2,6
يلج,يَلِجُ,فَعل,4,2,6
يلق,يُلْقُونَ,فُعْل,6,1,6
يلن,يَلُونَكُمْ,فَعُول,6,1,6
ينت,يَنْتَهُوا,فَعْلَهُ,6,1,6
يوت,بَيَاتَاً,فَالَ,6,1,6
يوصل,يُوصَلَ,فُفَعل,6,1,6
أنس,تَسْتَأْنِسُوا,تَسْتَفْعِل,3,2,5
ؤذي,يُؤْذَيْنَ,يُفْعَل,3,2,5
إلر,الر,فِعَل,5,1,5
اتو,آتَوْهُ,أَفَعَل,3,2,5
بثث,الْمَبْثُوثِ,مَفْعُول,2,3,5
بذر,الْمُبَذِّرِينَ,مُفَعِّل,3,2,5
تلم,تَلُومُونِي,فَعُول,5,1,5
جرا,تَجْرِيَانِ,تَفْعِيلَ,3,2,5
جره,يَجُرُّهُ,يَفُعُّل,3,2,5
جزء,جُزْءَاً,فُعْل,4,2,5
جلن,الْأَجَلَيْنِ,أَفَعَيْل,3,2,5
جمح,يَجْمَحُونَ,يَفْعَلُونَ,5,1,5
جوز,جَاوَزَا,فَأَعل,2,3,5
حلق,تَحْلِقُوا,تَفْعِل,3,2,5
حمية,الْحَمِيَّةَ,فَفِعَّل,3,2,5
خشت,خَشْيَتِهِ,فَعْيَل,3,2,5
خضع,تَخْضَعْنَ,تَفْعَلْنَ,3,2,5
خوب,خَابَ,فَالَ,3,2,5
دحض,الْمُدْحَضِينَ,مُفْعَل,3,2,5
درو,تَدْرُونَ,تَفْعُل,3,2,5
دسه,يَدُسُّهُ,يَفُعُّل,3,2,5
دعك,يَدْعُوكَ,يَفْعُول,3,2,5
ذمم,مَذْمُومَاً,مَفْعُول,4,2,5
راء,وَرَاءِ,فَعَل,5,1,5
ربي,رَابِيَاً,فَاعِل,2,3,5
رذل,الْأَرْذَلُونَ,أَفْعَل,3,2,5
رمي,تَرْمِيهِمْ,تَفْعِل,3,2,5
روك,رَأَوْكَ,فَأَعْل,3,2,5
زوج,يُزَوِّجُهُمْ,يُفَعِّل,3,2,5
زوغ,زَاغَتْ,فَالَتْ,2,3,5
سئح,السَّائِحُونَ,فَاعِلُون,3,2,5
سقى,تُسْقَى,تُفْعَل,2,3,5
سمن,سِمَانٍ,فِعَال,2,3,5
سنن,مَسْنُونٍ,مَفْعُول,3,3,5
سوق,يُسَاقُونَ,يُفَالُ,3,2,5
شكل,شَاكِلَتِهِ,فَاعِل,3,2,5
صرصر,صَرْصَرَاً,فَفْعَل,4,2,5
صطف,الْمُصْطَفَيْنَ,مُفْعَل,3,2,5
صله,صَلُّوهُ,فَعُّول,3,2,5
صلى,تَصْلَى,تَفْعَل,2,3,5
صور,يُصَوِّرُكُمْ,يُفَعِّل,3,2,5
ضرء,ضَرَّاءَ,فَعَّال,3,2,5
ضلو,أَضَلُّونَا,أَفَعُّل,3,2,5
طئو,تَطَئُوهُمْ,تَفَعُل,5,1,5
طرد,طَرَدْتُهُمْ,فَعَل,3,2,5
عاس,النُّعَاسَ,نُفعِل,3,2,5
عصر,يَعْصِرُونَ,يَفْعِلُونَ,3,2,5
عطي,يُعْطِيكَ,يُفْعِي,3,2,5
عفف,يَسْتَعْفِفْنَ,يَسْتَفْعِل,3,2,5
عقر,عَاقِرَاً,فَاعِل,4,2,5
على,الْعُلَى,فُعل,4,2,5
عمن,عَامَيْنِ,فَاعَيْل,2,3,5
غنم,غَنِمْتُمْ,فَعل,4,2,5
غوب,الْغَائِبِينَ,فَائِل,3,2,5
غوث,يُغَاثُوا,يُفَالُ,3,2,5
فاق,الْإِنْفَاقِ,إِنْفَعَل,3,3,5
فخر,فَخُورٍ,فَعُول,2,3,5
فشل,تَفْشَلَا,تَفْعَل,3,2,5
فقد,تَفْقِدُونَ,تَفْعِلُونَ,3,2,5
قرت,قَرَأْتَ,فَعَأْل,4,2,5
قسي,قَاسِيَةً,فَاعِلَة,3,2,5
كفى,كَفَى,فَعَل,5,1,5
لهي,تُلْهِيهِمْ,تُفْعِي,3,2,5
لوء,بَلَاءٌ,فَاعٍ,4,2,5
مكث,مَاكِثُونَ,فَاعِلُون,2,3,5
نبإ,النَّبَإِ,فَعَل,2,3,5
نبذ,انْتَبَذَتْ,افْتَعَل,2,3,5
نته,يَنْتَهُونَ,يَفْعَلُونَ,3,2,5
نسب,نَسَبَاً,فَعَل,4,2,5
نكال,نَكَالَاً,فَفَعَل,4,2,5
نكس,نُنَكِّسْهُ,فُنَعِّل,3,2,5
نكص,تَنْكِصُونَ,تَفْعِلُونَ,4,2,5
نهر,تَنْهَرْهُمَا,تَفْعَل,3,2,5
هيت,نُهِيتُ,نُفعِل,4,2,5
وبق,يُوبِقْهُنَّ,يُفعِل,3,2,5
يني,يَأْتُونِي,فَأْتُوعِل,5,1,5
أبت,أَنْبَتَتْ,فَنْعَل,2,2,4
أتين,يَأْتِيَنِي,يَفْفِعَل,4,1,4
أذي,أُوذِينَا,فُوعِل,2,2,4
أسأ,أَسَأْتُمْ,فَعَل,2,2,4
أشحة,أَشِحَّةً,فَفِعَّل,4,1,4
أشر,أَنْشَرَهُ,فَنْعَل,2,2,4
أصل,أَصْلِ,فَعْل,2,2,4
أعد,أُعِيدُوا,فُعِيل,4,1,4
أعزة,أَعِزَّةٍ,فَفِعَّل,2,2,4
أفض,أَفَضْتُمْ,فَعَل,4,1,4
أفل,أَفَلَ,فَعَل,2,2,4
أقض,اقْضُوا,فُعْل,3,2,4
أمت,أَمُوتُ,فَعُول,2,2,4
أمل,أَمَلَاً,فَعَل,2,2,4
أولا,أُولَاهُمَا,فُفَعل,2,2,4
ؤوي,تُؤْوِيهِ,تُفْعِي,4,1,4
إئتا,ائْتِيَا,فِعْلِيل,4,1,4
إحد,إِحْدَى,فِعْلَى,4,1,4
ادك,فُؤَادَكَ,أَفَعَل,4,1,4
اذي,آذَيْتُمُونَا,أَفَعَل,4,1,4
امر,آمُرُهُ,أَفَعُل,4,1,4
اوو,آوَوْا,أَفَعَل,4,1,4
ايتن,آتَيْتَنِي,أَفَتَفْعَل,4,1,4
بار,الْبَوَارِ,فَوَعَل,2,2,4
برم,أَبْرَمُوا,أَفْعَل,2,2,4
بزغ,بَازِغَاً,فَاعِل,2,2,4
بسل,أُبْسِلُوا,أُفْعِل,2,2,4
بطر,بَطَرَاً,فَعَل,2,2,4
بلا,ابْتَلَاهُ,افْتَعَل,4,1,4
بنا,أَبَانَا,أَفَاعَل,2,2,4
بهج,بَهِيجٍ,فَعِيل,2,2,4
بور,بُورَاً,فُعِل,4,1,4
بيك,بَيْنَكَ,فَعْنَل,4,1,4
تب,تُبْتُمْ,فُل,4,1,4
تذرن,تَذَرْنِي,فَفَعْل,4,1,4
ترة,تَارَةً,فَأَعل,4,1,4
تري,تَرَيِنَّ,فَعْلَان,4,1,4
تزد,تَزِدِ,فَعل,4,1,4
تزل,تُنَزِّلَ,فُنَعِّل,4,1,4
تمر,تَمُورُ,فَعُول,4,1,4
تنر,التَّنُّورُ,فَعُّول,4,1,4
تور,تُورُونَ,فُعِل,4,1,4
ثلن,مِثْلَنَا,مِفْعَل,2,2,4
جءت,جَاءَتِ,فَأَعل,4,1,4
جئ,جِئْتُمْ,فِل,4,1,4
جاب,جَوَابَ,فَوَعَل,4,1,4
جرح,اجْتَرَحُوا,افْتَعَل,2,2,4
جرز,الْجُرُزِ,فُعُل,2,2,4
جرن,يُجِيرَنِي,يُفِيعَل,4,1,4
جزا,يُجْزَاهُ,يُفْعَل,4,1,4
جلال,الْجَلَالِ,فَفَعَل,4,1,4
جلد,جَلْدَةً,فَعْلَة,2,2,4
جهز,جَهَّزَهُمْ,فَعَّل,4,1,4
جوع,الْجُوعِ,فُعِل,2,2,4
جير,يُجِيرُ,يُفعِل,4,1,4
حبه,حُبِّهِ,فُعِّل,4,1,4
حجب,حِجَابَاً,فِعَال,4,1,4
حضض,يَحُضُّ,يَفُعُّ,4,1,4
حطة,حِطَّةٌ,فِعَّل,4,1,4
حطم,يَحْطِمَنَّكُمْ,يَفْعِل,4,1,4
حظر,الْمُحْتَظِرِ,افْتَعَل,2,2,4
حقب,أَحْقَابَاً,أَفْعَال,2,2,4
حمي,حَامِيَةً,فَاعِلَة,2,2,4
حنث,الْحِنْثِ,فِعْل,2,2,4
حيه,أَحْيَاهَا,أَفْعَال,4,1,4
خئن,خَائِنَةٍ,فَاعِلَة,2,2,4
خال,مُخْتَالٍ,افْتَعَل,2,2,4
خبال,خَبَالَاً,فَفَعَل,4,1,4
خرق,تَخْرِقَ,تَفْعِل,2,2,4
خرن,أَخَّرْنَا,أَفَّعْل,2,2,4
خره,سَخَّرَهَا,فَّعل,4,1,4
خشى,تَخْشَى,تَفْعَل,2,2,4
خلي,الْخَالِيَةِ,فَاعِلَة,4,1,4
خمد,خَامِدُونَ,فَاعِلُون,2,2,4
خمص,مَخْمَصَةٌ,مَفْعَلَة,2,2,4
خنا,أَخَانَا,أَفَاعَل,4,1,4
خنو,تَخُونُوا,تَفُولُوا,4,1,4
دعئ,دُعَائِهِمْ,فُعَال,2,2,4
دعى,تُدْعَى,تُفْعَل,2,2,4
دلا,بَدَّلُوا,فَّعُول,4,1,4
دله,بَدَّلَهُ,فَّعل,2,2,4
دهن,تُدْهِنُ,تُفْعِل,2,2,4
دوب,دَأَبَاً,فَالَ,2,2,4
ذاب,كِذَّابَاً,فَّعِل,4,1,4
ذرأ,ذَرَأَ,فَعَل,2,2,4
ذرؤ,يَذْرَؤُكُمْ,يَفْعَل,4,1,4
ذرت,نَذَرْتُ,نَفَعْل,4,1,4
ذمة,ذِمَّةً,فِعَّل,4,1,4
ذوا,ذَوَا,فَعَل,4,1,4
رءة,بَرَاءَةٌ,فَأَعل,4,1,4
رأف,رَأْفَةً,فَعْلَة,2,2,4
رتب,ارْتَبْتُمْ,إِفْعَلْ,4,1,4
رتل,تَرْتِيلَاً,تَفْعِيلَ,4,1,4
رحن,رُوحِنَا,فُوعِل,4,1,4
رحي,رُوحِي,فُوعِل,4,1,4
رسا,مُرْسَاهَا,مُفْعَل,4,1,4
رسس,الرَّسِّ,فَعِّ,4,1,4
