word,engine_root,audited_root,audited_bab_sarfi,is_audited_and_correct,status,issue_type,fix_hint
فَعَمَ,فعم,فعم,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَتَمَ,كتم,كتم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَنَى,كنى,كني,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
قَئِبَ,قئب,قءب,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَجِدَ,نجد,نجد,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَدُوَ,قدو,قدو,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
كَتَا,كتا,كتو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَزَّ,,كزز,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَهِمَ,قهم,قهم,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَحِلَ,نحل,نحل,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
خَرِزَ,خرز,خرز,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَسُمَ,قسم,قسم,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
غَزِلَ,غزل,غزل,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَلَأَ,كلأ,كلء,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
نَحَطَ,نحط,نحط,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَحَا,قحا,قحو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَصَمَ,فصم,فصم,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَنَحَ,قنح,قنح,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَشَخَ,فشخ,فشخ,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
غَاثَ,غاث,غوث,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
قَذَعَ,قذع,قذع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَنِعَ,كنع,كنع,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَطُعَ,قطع,قطع,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
غَفَلَ,غفل,غفل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَفِزَ,قفز,قفز,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَرِهَ,كره,كره,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَدَهَ,كده,كده,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
غَاجَ,غاج,غوج,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
قَفَحَ,قفح,قفح,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَلَا,,فلو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
فَرَثَ,فرث,فرث,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَهَمَ,كهم,كهم,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَشَبَ,قشب,قشب,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَقُمَ,فقم,فقم,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
قَفِئَ,قفئ,قفء,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَرُغَ,فرغ,فرغ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
غَرِلَ,غرل,غرل,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَشَقَ,فشق,فشق,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَرِيَ,كري,كرو,فَعِلَ يَفْعَلُ ( كسر فتح ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
قَصَفَ,قصف,قصف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
